annex,regulated area,regulated gear,year,measure calculation
CEL1,7BCEFGHJK,TR2,2016,5041221
CEL1,7BCEFGHJK,TR1,2016,5319428
CEL1,7BCEFGHJK,TR2,2015,4283323
CEL1,7BCEFGHJK,TR1,2015,5269621
CEL1,7BCEFGHJK,TR2,2014,4086292
CEL1,7BCEFGHJK,TR1,2014,5831901
CEL1,7BCEFGHJK,TR2,2013,4377600
CEL1,7BCEFGHJK,TR1,2013,4911521
CEL1,7BCEFGHJK,TR2,2012,4276270
CEL1,7BCEFGHJK,TR1,2012,4341606
CEL1,7BCEFGHJK,TR2,2011,3760111
CEL1,7BCEFGHJK,TR1,2011,4410607
CEL1,7BCEFGHJK,TR2,2010,4105661
CEL1,7BCEFGHJK,TR1,2010,4496000
CEL1,7BCEFGHJK,TR2,2009,3484871
CEL1,7BCEFGHJK,TR1,2009,4179131
CEL1,7BCEFGHJK,TR2,2008,4609737
CEL1,7BCEFGHJK,TR1,2008,3868538
CEL1,7BCEFGHJK,TR2,2007,6056725
CEL1,7BCEFGHJK,TR1,2007,4031609
CEL1,7BCEFGHJK,TR2,2006,5781300
CEL1,7BCEFGHJK,TR1,2006,3883296
CEL1,7BCEFGHJK,TR2,2005,6549003
CEL1,7BCEFGHJK,TR1,2005,4811084
CEL1,7BCEFGHJK,TR2,2004,5481022
CEL1,7BCEFGHJK,TR1,2004,5080624
CEL1,7BCEFGHJK,TR2,2003,5516623
CEL1,7BCEFGHJK,TR1,2003,5847912
