Measure Names,species,year,Measure Values
discards,WHG,2003,2052.529
discards,NEP,2003,0
discards,LEZ,2003,635.737
discards,HKE,2003,340.55
discards,HAD,2003,5827.559
discards,COD,2003,47.736
discards,ANF,2003,305.718
landings,WHG,2003,3927.17
landings,NEP,2003,3653.39
landings,LEZ,2003,1577.6
landings,HKE,2003,615.57
landings,HAD,2003,1392.77
landings,COD,2003,343.41
landings,ANF,2003,1218.84
discards,WHG,2004,4663.578
discards,NEP,2004,0
discards,LEZ,2004,266.265
discards,HKE,2004,245.447
discards,HAD,2004,5587.508
discards,COD,2004,32.541
discards,ANF,2004,176.78
landings,WHG,2004,3527.27
landings,NEP,2004,3161.35
landings,LEZ,2004,1398.23
landings,HKE,2004,597.5
landings,HAD,2004,1273.99
landings,COD,2004,354.58
landings,ANF,2004,1278.66
discards,WHG,2005,5022.188
discards,NEP,2005,0
discards,LEZ,2005,300.286
discards,HKE,2005,851.496
discards,HAD,2005,3940.905
discards,COD,2005,473.737
discards,ANF,2005,276.684
landings,WHG,2005,5630.73
landings,NEP,2005,4561.28
landings,LEZ,2005,1388.99
landings,HKE,2005,631.59
landings,HAD,2005,1748.24
landings,COD,2005,534.42
landings,ANF,2005,1751.57
discards,WHG,2006,1289.975
discards,NEP,2006,0
discards,LEZ,2006,518.44
discards,HKE,2006,245.325
discards,HAD,2006,3339.115
discards,COD,2006,207.805
discards,ANF,2006,53.227
landings,WHG,2006,4454.89
landings,NEP,2006,3901.33
landings,LEZ,2006,1134.57
landings,HKE,2006,682.58
landings,HAD,2006,1618.7
landings,COD,2006,611.79
landings,ANF,2006,2114.56
discards,WHG,2007,9872.634
discards,NEP,2007,0
discards,LEZ,2007,594.507
discards,HKE,2007,836.572
discards,HAD,2007,2294.211
discards,COD,2007,352.37
discards,ANF,2007,172.724
landings,WHG,2007,4845.66
landings,NEP,2007,6017.95
landings,LEZ,2007,1229.82
landings,HKE,2007,764.96
landings,HAD,2007,1693.42
landings,COD,2007,481.59
landings,ANF,2007,2346.91
discards,WHG,2008,2137.887
discards,NEP,2008,0
discards,LEZ,2008,845.116
discards,HKE,2008,396.708
discards,HAD,2008,3003.48
discards,COD,2008,48.27
discards,ANF,2008,64.346
landings,WHG,2008,2375.08
landings,NEP,2008,5861.84
landings,LEZ,2008,1156.53
landings,HKE,2008,690.98
landings,HAD,2008,1602.58
landings,COD,2008,487.53
landings,ANF,2008,1934.35
discards,WHG,2009,3537.084
discards,NEP,2009,1389.154
discards,LEZ,2009,535.827
discards,HKE,2009,755.23
discards,HAD,2009,2849.009
discards,COD,2009,232.68
discards,ANF,2009,254.722
landings,WHG,2009,2825.94
landings,NEP,2009,5215.12
landings,LEZ,2009,1584.7
landings,HKE,2009,556.43
landings,HAD,2009,3139.87
landings,COD,2009,673.96
landings,ANF,2009,2543.5
discards,WHG,2010,2372.02
discards,NEP,2010,935.846
discards,LEZ,2010,542.955
discards,HKE,2010,714.338
discards,HAD,2010,4174.984
discards,COD,2010,614.929
discards,ANF,2010,252.191
landings,WHG,2010,4416.19
landings,NEP,2010,5720.65
landings,LEZ,2010,1947.74
landings,HKE,2010,974.02
landings,HAD,2010,2734.55
landings,COD,2010,848.65
landings,ANF,2010,3223.8
discards,WHG,2011,1815.38
discards,NEP,2011,420.396
discards,LEZ,2011,369.813
discards,HKE,2011,360.787
discards,HAD,2011,3418.772
discards,COD,2011,714.423
discards,ANF,2011,255.195
landings,WHG,2011,4745.21
landings,NEP,2011,4577.13
landings,LEZ,2011,1804.82
landings,HKE,2011,1051.84
landings,HAD,2011,3474.13
landings,COD,2011,810.26
landings,ANF,2011,2856.77
discards,WHG,2012,2408.296
discards,NEP,2012,625.001
discards,LEZ,2012,595.542
discards,HKE,2012,581.115
discards,HAD,2012,2213.034
discards,COD,2012,355.01
discards,ANF,2012,259.143
landings,WHG,2012,5695.65
landings,NEP,2012,6239.04
landings,LEZ,2012,2191.58
landings,HKE,2012,1047.52
landings,HAD,2012,4304.16
landings,COD,2012,1207.63
landings,ANF,2012,2438.83
discards,WHG,2013,1189.174
discards,NEP,2013,949.145
discards,LEZ,2013,540.935
discards,HKE,2013,942.011
discards,HAD,2013,787.048
discards,COD,2013,126.54
discards,ANF,2013,182.09
landings,WHG,2013,6742.87
landings,NEP,2013,6156.67
landings,LEZ,2013,2296.86
landings,HKE,2013,1142.9
landings,HAD,2013,2866.48
landings,COD,2013,1226.96
landings,ANF,2013,2209.93
discards,WHG,2014,2247.124
discards,NEP,2014,862.725
discards,LEZ,2014,462.74
discards,HKE,2014,641.509
discards,HAD,2014,1219.43
discards,COD,2014,271.781
discards,ANF,2014,265.19
landings,WHG,2014,6613.47
landings,NEP,2014,6337.81
landings,LEZ,2014,1874.63
landings,HKE,2014,1554.59
landings,HAD,2014,2421.07
landings,COD,2014,1038.82
landings,ANF,2014,2606.1
discards,WHG,2015,3579.224
discards,NEP,2015,344.318
discards,LEZ,2015,589.999
discards,HKE,2015,873.556
discards,HAD,2015,2839.479
discards,COD,2015,275.919
discards,ANF,2015,272.574
landings,WHG,2015,6181.38
landings,NEP,2015,5895.95
landings,LEZ,2015,1709.29
landings,HKE,2015,1681.84
landings,HAD,2015,1731.13
landings,COD,2015,876.89
landings,ANF,2015,2503.09
discards,WHG,2016,2962.496
discards,NEP,2016,1024.42
discards,LEZ,2016,369.131
discards,HKE,2016,771.077
discards,HAD,2016,2400.464
discards,COD,2016,53.795
discards,ANF,2016,543.089
landings,WHG,2016,6833
landings,NEP,2016,7498.95
landings,LEZ,2016,1871.82
landings,HKE,2016,2057.85
landings,HAD,2016,1867.19
landings,COD,2016,669.38
landings,ANF,2016,2944.45
